/TTime               ,Tmax_coil1          ,Tmax_coil2          ,Tmax_coil3          ,Tmax_coil4          ,coil1_I             ,coil3_I             ,R1_I                ,R2_I                ,coil1_V             ,coil2_V             ,coil3_V             ,coil4_V             ,R_coil1             ,R_coil2             ,R_coil3             ,R_coil4             ,QV_coil1            ,QV_coil2            ,QV_coil3            ,QV_coil4            
0.35                ,5.2719007132        ,5.73486929054       ,5.7478317886        ,5.40628505673       ,104.969101198       ,104.982229442       ,104.969101198       ,104.982229442       ,-0.809062267503     ,-186.46902456       ,-186.520005399      ,-0.782725538401     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.36                ,5.31140506734       ,5.78439583373       ,5.7984262005        ,5.45173586131       ,104.834798389       ,104.847925251       ,104.834798389       ,104.847925251       ,-0.83779006582      ,-186.209416546      ,-186.25381868       ,-0.827325281555     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.37                ,5.3507960737        ,5.8335489995        ,5.84864685674       ,5.49706533257       ,104.700864304       ,104.71389263        ,104.700864304       ,104.71389263        ,-0.825657570489     ,-186.009513297      ,-186.058577157      ,-0.801425624927     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.38                ,5.39002862134       ,5.88229445906       ,5.89847988874       ,5.54229217693       ,104.567131322       ,104.58011701        ,104.567131322       ,104.58011701        ,-0.84420984687      ,-185.766295291      ,-185.811258316      ,-0.82802533208      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.39                ,5.42913004288       ,5.93065539395       ,5.94809678382       ,5.58739418477       ,104.433647277       ,104.446624296       ,104.433647277       ,104.446624296       ,-0.855349608398     ,-185.528701239      ,-185.581011054      ,-0.838025833184     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.4                 ,5.46809246971       ,5.97863768118       ,5.99792999244       ,5.63236980095       ,104.300478699       ,104.313369062       ,104.300478699       ,104.313369062       ,-0.849202454624     ,-185.317673098      ,-185.370936451      ,-0.828237257378     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.41                ,5.50690366213       ,6.02622040481       ,6.04738677357       ,5.67721517443       ,104.16756827        ,104.180385447       ,104.16756827        ,104.180385447       ,-0.852159616427     ,-185.102089393      ,-185.151037617      ,-0.82872752534      ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.42                ,5.54555806271       ,6.0733701001        ,6.09641043597       ,5.72191978067       ,104.034862422       ,104.047636603       ,104.034862422       ,104.047636603       ,-0.865506977936     ,-184.868572753      ,-184.914025904      ,-0.846712069308     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.43                ,5.58406057006       ,6.12004772018       ,6.14495031137       ,5.76646798626       ,103.902392222       ,103.915133977       ,103.902392222       ,103.915133977       ,-0.873976507431     ,-184.636792637      ,-184.685962793      ,-0.856156087974     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.44                ,5.62240046957       ,6.16625988529       ,6.19301350435       ,5.81085942603       ,103.770185396       ,103.782865488       ,103.770185396       ,103.782865488       ,-0.875577161828     ,-184.416078174      ,-184.467773777      ,-0.856109588191     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.45                ,5.66056228262       ,6.21200362532       ,6.24060666483       ,5.85508844677       ,103.63825341        ,103.650877813       ,103.63825341        ,103.650877813       ,-0.87031184803      ,-184.212431881      ,-184.263028422      ,-0.843092020387     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.46                ,5.69851952852       ,6.25727105371       ,6.28773572826       ,5.8991576976        ,103.506486792       ,103.51909045        ,103.506486792       ,103.51909045        ,-0.889474306395     ,-183.972153092      ,-184.011529307      ,-0.877146855034     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
0.47                ,5.73630380418       ,6.30208811852       ,6.33439963482       ,5.94303813949       ,103.374997584       ,103.387545844       ,103.374997584       ,103.387545844       ,-0.885131143779     ,-183.76262837       ,-183.810363725      ,-0.861273075178     ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   
